SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,494 Filbert St,San Francisco,CA,94133,1295000,2,1.0,Telegraph Hill,981,,1939,1,1320,120,Active,,,http://www.redfin.com/CA/San-Francisco/494-Filbert-St-94133/home/1951842,San Francisco MLS,499919,N,Y,37.8017553,-122.4077021
MLS Listing,,Single Family Residential,421 Point Lobos Ave,San Francisco,CA,94121,1395000,2,2.0,Outer Richmond,1443,2571,1941,1,967,,Active,,,http://www.redfin.com/CA/San-Francisco/421-Point-Lobos-Ave-94121/home/892739,San Francisco MLS,500392,N,Y,37.7796376,-122.5077261
MLS Listing,,Condo/Co-op,355 Bryant St #104,San Francisco,CA,94107,2495000,2,2.0,South Beach,2206,,1917,1,1131,950,Active,,,http://www.redfin.com/CA/San-Francisco/355-Bryant-St-94107/unit-104/home/12395966,San Francisco MLS,500424,N,Y,37.7835506,-122.3924215
MLS Listing,,Single Family Residential,530 Crescent Ave,San Francisco,CA,94110,1179000,2,1.0,Bernal Heights,1125,1751,1938,1,1048,,Active,,,http://www.redfin.com/CA/San-Francisco/530-Crescent-Ave-94110/home/1695946,San Francisco MLS,499722,N,Y,37.7347192,-122.415745
MLS Listing,,Condo/Co-op,1410 Shrader St,San Francisco,CA,94117,1645000,2,1.5,Parnassus/Ashbury Heights,1607,,1916,1,1024,170,Active,,,http://www.redfin.com/CA/San-Francisco/1410-Shrader-St-94117/home/602844,San Francisco MLS,500185,N,Y,37.762191,-122.450426
MLS Listing,,Condo/Co-op,400 Beale St #506,San Francisco,CA,94105,1049000,2,1.0,South Beach,1038,,2002,1,1011,,Active,,,http://www.redfin.com/CA/San-Francisco/400-Beale-St-94105/unit-506/home/1207461,San Francisco MLS,499620,N,Y,37.7869049,-122.3909202
MLS Listing,,Condo/Co-op,1788 Clay St #304,San Francisco,CA,94109,1350000,2,2.0,Nob Hill,975,,2014,1,1385,723,Active,,,http://www.redfin.com/CA/San-Francisco/1788-Clay-St-94109/unit-304/home/110051413,San Francisco MLS,500428,N,Y,37.7925699,-122.4222498
MLS Listing,,Condo/Co-op,178 Randall St,San Francisco,CA,94131,1695000,2,2.5,Glen Park,1465,,2008,1,1157,392,Active,,,http://www.redfin.com/CA/San-Francisco/178-Randall-St-94131/home/28938920,San Francisco MLS,499963,N,Y,37.7398549,-122.4274019
MLS Listing,,Condo/Co-op,250 King St #952,San Francisco,CA,94107,2399000,3,3.0,Mission Bay,2450,,2004,1,979,1812,Active,,,http://www.redfin.com/CA/San-Francisco/250-King-St-94107/unit-952/home/22889829,San Francisco MLS,499439,N,Y,37.7776422,-122.3934181
MLS Listing,,Condo/Co-op,1895 Pacific Ave #104,San Francisco,CA,94109,599000,0,1.0,Pacific Heights,512,,1931,1,1170,440,Active,,,http://www.redfin.com/CA/San-Francisco/1895-Pacific-Ave-94109/unit-104/home/568156,San Francisco MLS,500110,N,Y,37.7941676,-122.4262431
MLS Listing,,Single Family Residential,710 Laguna Honda Blvd,SAN FRANCISCO,CA,94127,1199000,3,1.0,SAN FRANCISCO,1471,3197,1927,1,815,,Active,,,http://www.redfin.com/CA/San-Francisco/710-Laguna-Honda-Blvd-94127/home/686361,MLSListings,ML81798252,N,Y,37.7445699,-122.4570518
