,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE,BUILT YEAR,COORDINATES
82,Condo/Co-op,178 Randall St,San Francisco,CA,94131,1695000,2.0,2.5,Glen Park,1465.0,1157.0,392.0,37.7398549,-122.4274019,2008,"37.7398549,-122.4274019"
83,Condo/Co-op,250 King St #952,San Francisco,CA,94107,2399000,3.0,3.0,Mission Bay,2450.0,979.0,1812.0,37.7776422,-122.39341809999999,2004,"37.7776422,-122.39341809999999"
84,Condo/Co-op,1895 Pacific Ave #104,San Francisco,CA,94109,599000,0.0,1.0,Pacific Heights,512.0,1170.0,440.0,37.7941676,-122.4262431,1931,"37.7941676,-122.4262431"
85,Single Family Residential,710 Laguna Honda Blvd,SAN FRANCISCO,CA,94127,1199000,3.0,1.0,SAN FRANCISCO,1471.0,815.0,,37.744569899999995,-122.45705179999999,1927,"37.744569899999995,-122.45705179999999"
86,Single Family Residential,58507 Dowville West,Huntington Lake,CA,93634,119000,1.0,1.0,Huntington Lake,608.0,196.0,49.0,37.782381,-122.41655,nan,"37.782381,-122.41655"
87,Single Family Residential,52 Santa Marina St,San Francisco,CA,94110,1645000,3.0,2.0,Bernal Heights,1601.0,1027.0,,37.739964,-122.42203700000002,1909,"37.739964,-122.42203700000002"
88,Condo/Co-op,2031 Hayes St,San Francisco,CA,94117,1935000,3.0,2.5,San Francisco County,1670.0,1159.0,,37.773357085,-122.4499369,1910,"37.773357085,-122.4499369"
89,Single Family Residential,81 Pinehurst Way,San Francisco,CA,94127,1849000,4.0,3.0,Mount Davidson Manor,2468.0,749.0,,37.728052000000005,-122.4652006,1928,"37.728052000000005,-122.4652006"
90,Single Family Residential,2 Lake Forest Ct,San Francisco,CA,94131,1495000,3.0,2.0,Forest Knolls,1408.0,1062.0,,37.7545778,-122.460004,1961,"37.7545778,-122.460004"
91,Condo/Co-op,1080 Chestnut St Unit 11B,San Francisco,CA,94109,3395000,3.0,2.5,Russian Hill,2105.0,1613.0,3122.0,37.803057,-122.42102120000001,1962,"37.803057,-122.42102120000001"
92,Condo/Co-op,49 Zoe St #6,San Francisco,CA,94107,879000,1.0,1.5,South Beach,987.0,891.0,550.0,37.7800761,-122.3960123,1997,"37.7800761,-122.3960123"
93,Single Family Residential,537 Magellan Ave,San Francisco,CA,94116,2275000,5.0,3.5,Forest Hill,2944.0,773.0,,37.7440274,-122.4669143,1920,"37.7440274,-122.4669143"
94,Condo/Co-op,436-440 Scott St #438,San Francisco,CA,94117,1549000,3.0,2.5,Hayes Valley,1354.0,1144.0,350.0,37.7738902,-122.43550220000002,1895,"37.7738902,-122.43550220000002"
95,Condo/Co-op,1300 22nd St #107,San Francisco,CA,94107,795000,1.0,1.0,Potrero Hill,565.0,1407.0,568.0,37.7578379,-122.39447140000001,2016,"37.7578379,-122.39447140000001"
96,Condo/Co-op,200 Brannan St #234,San Francisco,CA,94107,1995000,2.0,2.0,South Beach,1892.0,1054.0,910.0,37.7836002,-122.3907074,2004,"37.7836002,-122.3907074"
97,Condo/Co-op,1776 Sacramento St #708,San Francisco,CA,94109,1498000,3.0,2.0,Nob Hill,1526.0,982.0,890.0,37.791618299999996,-122.42209820000001,1992,"37.791618299999996,-122.42209820000001"
98,Condo/Co-op,338 Spear St Unit 16G,San Francisco,CA,94105,999000,1.0,1.0,South Beach,807.0,1238.0,891.0,37.789413700000004,-122.3906433,2009,"37.789413700000004,-122.3906433"
99,Multi-Family (2-4 Unit),237 San Jose Ave,San Francisco,CA,94110,2800000,11.0,4.5,Noe Valley,4800.0,583.0,,37.7514387,-122.42125970000001,1904,"37.7514387,-122.42125970000001"
100,Multi-Family (2-4 Unit),170 Pfeiffer St,San Francisco,CA,94133,5400000,6.0,4.5,Telegraph Hill,,,,37.8048306,-122.4096277,nan,"37.8048306,-122.4096277"
101,Condo/Co-op,301 Main St Unit 7C,San Francisco,CA,94105,2099000,3.0,2.5,South Beach,1752.0,1198.0,1059.0,37.7895974,-122.3911965,2008,"37.7895974,-122.3911965"
102,Condo/Co-op,72 Townsend St #401,San Francisco,CA,94107,1029000,1.0,1.0,South Beach,788.0,1306.0,792.0,37.781388,-122.39035249999999,2015,"37.781388,-122.39035249999999"
103,Townhouse,232 Friedell St,San Francisco,CA,94124,799999,2.0,2.0,Hunters Point,,,271.0,37.728432,-122.37011310000001,2016,"37.728432,-122.37011310000001"
104,Condo/Co-op,439 Greenwich St #9,San Francisco,CA,94133,750000,1.0,1.0,Telegraph Hill,535.0,1402.0,525.0,37.8023778,-122.4070114,1979,"37.8023778,-122.4070114"
105,Condo/Co-op,456 Carl St,San Francisco,CA,94117,1199000,3.0,2.0,Parnassus/Ashbury Heights,1271.0,943.0,485.0,37.765018,-122.4569962,1990,"37.765018,-122.4569962"
106,Townhouse,77 Dow Pl #711,San Francisco,CA,94107,1025000,1.0,1.5,Yerba Buena,1293.0,793.0,896.0,37.7841561,-122.3966189,2002,"37.7841561,-122.3966189"
107,Condo/Co-op,2100 Green St #704,San Francisco,CA,94123,3495000,2.0,2.0,Pacific Heights,1866.0,1873.0,1618.0,37.796589399999995,-122.4339807,1928,"37.796589399999995,-122.4339807"
108,Single Family Residential,124 Miguel St,San Francisco,CA,94131,1395000,2.0,2.0,Glen Park,1550.0,900.0,,37.73794229999999,-122.4286419,1903,"37.73794229999999,-122.4286419"
109,Single Family Residential,627 16th Ave,San Francisco,CA,94118,1350000,3.0,1.0,Central Richmond,2076.0,650.0,,37.776171999999995,-122.475109,1918,"37.776171999999995,-122.475109"
110,Single Family Residential,3467 Pacific Ave,San Francisco,CA,94118,8950000,6.0,6.0,Presidio Heights,5625.0,1591.0,,37.7908948,-122.45207590000001,1909,"37.7908948,-122.45207590000001"
111,Single Family Residential,109 Joost Ave,San Francisco,CA,94131,1028000,2.0,1.0,Sunnyside,903.0,1138.0,,37.7322456,-122.4378105,1923,"37.7322456,-122.4378105"
112,Condo/Co-op,555 4th St #913,San Francisco,CA,94107,1288000,2.0,2.0,South Beach,907.0,1420.0,664.0,37.7794218,-122.39671240000001,2006,"37.7794218,-122.39671240000001"
113,Condo/Co-op,99 Rausch St #320,San Francisco,CA,94103,659000,0.0,1.0,South of Market,,,515.0,37.7762348,-122.4090223,2017,"37.7762348,-122.4090223"
114,Condo/Co-op,52 Innes Ct #203,San Francisco,CA,94124,649888,1.0,1.0,Hunters Point,670.0,970.0,460.0,37.7276224,-122.3674287,2017,"37.7276224,-122.3674287"
115,Condo/Co-op,175 Red Rock Way Unit 207K,San Francisco,CA,94131,529000,0.0,1.0,Diamond Heights,592.0,894.0,492.0,37.745807,-122.44206899999999,1972,"37.745807,-122.44206899999999"
116,Condo/Co-op,1047 Mississippi St #9,San Francisco,CA,94107,949000,1.0,1.5,Potrero Hill,1385.0,685.0,526.0,37.753163799999996,-122.39337309999999,2001,"37.753163799999996,-122.39337309999999"
117,Single Family Residential,320 Ocean Ave,San Francisco,CA,94112-2532,1498888,5.0,3.0,Mission Terrace,2432.0,616.0,,37.7232378,-122.4436053,1931,"37.7232378,-122.4436053"
118,Single Family Residential,715 Foerster St,San Francisco,CA,94127,1735000,4.0,2.5,Miraloma Park,1909.0,909.0,25.0,37.734140999999994,-122.449219,1960,"37.734140999999994,-122.449219"
119,Condo/Co-op,501 Crescent Way #5107,San Francisco,CA,94134,728000,2.0,2.0,Candlestick Point,1095.0,665.0,540.0,37.711928799999995,-122.3886055,2006,"37.711928799999995,-122.3886055"
120,Condo/Co-op,875 Indiana St #324,San Francisco,CA,94107,975000,1.0,1.5,Central Waterfront,852.0,1144.0,523.0,37.759671600000004,-122.3908629,2009,"37.759671600000004,-122.3908629"
121,Single Family Residential,,San Francisco,CA,94124,925000,3.0,1.0,Bayview,1155.0,801.0,,37.73158660000001,-122.3860899,1961,"37.73158660000001,-122.3860899"
122,Single Family Residential,1710 Diamond St,San Francisco,CA,94131,4498800,4.0,3.5,Noe Valley,3645.0,1234.0,,37.7438471,-122.4358179,2014,"37.7438471,-122.4358179"
123,Condo/Co-op,235 Berry St #201,San Francisco,CA,94158,899000,1.0,1.0,Mission Bay,840.0,1070.0,689.0,37.774703,-122.39408929999999,2007,"37.774703,-122.39408929999999"
